Timestamp,MemorySetInMB,BilledDurationInGBSeconds
2021-08-17 15:07:57.864,512,7.359
2021-08-17 15:07:56.950,512,7.081
2021-08-17 15:07:56.779,512,7.026
2021-08-17 15:07:56.727,512,7.266
2021-08-17 15:07:56.433,512,7.125
2021-08-17 15:07:56.340,512,6.9575
2021-08-17 15:07:56.290,512,7.184
2021-08-17 15:07:55.969,512,6.9845
2021-08-17 15:07:55.918,512,7.106
2021-08-17 15:07:55.799,512,7.0345
2021-08-17 15:07:55.783,512,7.0925
2021-08-17 15:07:55.761,512,6.764
2021-08-17 15:07:55.619,512,6.9965
2021-08-17 15:07:55.615,512,6.792
2021-08-17 15:07:55.505,512,6.866
2021-08-17 15:07:55.490,512,6.912
2021-08-17 15:07:55.490,512,6.7275
2021-08-17 15:07:55.490,512,6.908
2021-08-17 15:07:55.477,512,6.9575
2021-08-17 15:07:55.468,512,6.9725
2021-08-17 15:07:55.374,512,6.991
2021-08-17 15:07:55.330,512,6.9375
2021-08-17 15:07:55.305,512,6.626
2021-08-17 15:07:55.297,512,6.836
2021-08-17 15:07:55.259,512,6.8855
2021-08-17 15:07:55.256,512,6.723
2021-08-17 15:07:55.236,512,6.6845
2021-08-17 15:07:55.171,512,6.767
2021-08-17 15:07:55.169,512,6.874
2021-08-17 15:07:55.115,512,6.7805
2021-08-17 15:07:55.076,512,6.766
2021-08-17 15:07:55.073,512,6.836
2021-08-17 15:07:55.068,512,6.819
2021-08-17 15:07:55.042,512,6.866
2021-08-17 15:07:55.010,512,6.6985
2021-08-17 15:07:54.994,512,6.667
2021-08-17 15:07:54.838,512,6.6305
2021-08-17 15:07:54.797,512,6.6145
2021-08-17 15:07:54.596,512,6.6295
2021-08-17 15:07:54.572,512,6.4835
2021-08-17 15:07:54.494,512,6.499
2021-08-17 15:07:54.308,512,6.452
2021-08-17 15:07:54.290,512,6.373
2021-08-17 15:07:54.221,512,6.453
2021-08-17 15:07:50.719,512,7.167
2021-08-17 15:07:50.385,512,6.9905
2021-08-17 15:07:50.159,512,6.8735
2021-08-17 15:07:50.015,512,6.805
2021-08-17 15:07:49.996,512,6.8025
2021-08-17 15:07:49.954,512,6.784
2021-08-17 15:07:49.910,512,6.7595
2021-08-17 15:07:49.882,512,6.7355
2021-08-17 15:07:49.671,512,6.631
2021-08-17 15:07:49.519,512,6.5565
2021-08-17 15:07:49.517,512,6.554
2021-08-17 15:07:49.497,512,6.545
2021-08-17 15:07:49.433,512,6.5165
2021-08-17 15:07:49.420,512,6.517
2021-08-17 15:07:49.286,512,6.446
2021-08-17 15:07:49.253,512,6.4265
2021-08-17 15:07:49.060,512,6.336
2021-08-17 15:07:48.977,512,6.285
2021-08-17 15:07:48.922,512,6.261
2021-08-17 15:07:48.886,512,6.237
2021-08-17 14:57:35.420,512,7.501
2021-08-17 14:57:35.137,512,7.2395
2021-08-17 14:57:34.988,512,6.8745
2021-08-17 14:57:34.982,512,7.3075
2021-08-17 14:57:34.813,512,7.06
2021-08-17 14:57:34.768,512,7.187
2021-08-17 14:57:34.723,512,7.138
2021-08-17 14:57:34.714,512,7.1085
2021-08-17 14:57:34.616,512,6.981
2021-08-17 14:57:34.611,512,7.12
2021-08-17 14:57:34.511,512,6.9095
2021-08-17 14:57:34.482,512,6.8205
2021-08-17 14:57:34.477,512,7.0365
2021-08-17 14:57:34.463,512,6.9245
2021-08-17 14:57:34.410,512,6.8015
2021-08-17 14:57:34.408,512,6.8595
2021-08-17 14:57:34.350,512,6.994
2021-08-17 14:57:34.322,512,7.0005
2021-08-17 14:57:34.321,512,6.943
2021-08-17 14:57:34.312,512,6.9365
2021-08-17 14:57:34.307,512,6.8965
2021-08-17 14:57:34.290,512,6.881
2021-08-17 14:57:34.272,512,6.9245
2021-08-17 14:57:34.264,512,6.7675
2021-08-17 14:57:34.264,512,7.0145
2021-08-17 14:57:34.237,512,6.7875
2021-08-17 14:57:34.212,512,6.818
2021-08-17 14:57:34.134,512,6.8125
2021-08-17 14:57:34.106,512,6.547
2021-08-17 14:57:34.075,512,6.882
